chinese_rank	frequency	word	traditional	pinyin	matched	meaning
8	1106.78	中国	中國	zhōngguó	trung quốc	Trung Quốc/Trung Hoa Trung Quốc/China/nước cộng hoà nhân dân Trung Hoa
48	467.23	北京	北京	běijīng	bắc kinh	Bắc Kinh/Beijing
120	278.73	日本	日本	rìběn	nhật bản/nhật bổn	Nhật Bổn/Nhật bản
124	273.66	英语	英語	yīngyǔ	anh ngữ	tiếng Anh/Anh ngữ/Anh văn
148	248.2	上海	上海	shànghǎi	thượng hải	Thượng Hải/thành phố Thượng Hải
277	162.97	台湾	臺灣	táiwān	đài loan	Đài Loan/Taiwan
377	130.73	英国	英國	yīngguó	anh quốc	Anh quốc/Anh/Anh Cát Lợi/Anh Quốc/United Kingdom
425	118.89	德国	德國	déguó	đức quốc	Đức/Đức quốc/Nhật Nhĩ Man/Cộng hoà liên bang Đức/Germany
533	101.25	大陆	大陸	dàlù	đại lục	đại lục/lục địa/Trung quốc
715	80.12	广州	廣州	guǎngzhōu	quảng châu	Quảng Châu
850	67.86	西方	西方	xīfāng	tây phương	phương Tây/phương tây/phía tây/Tây Phương
1134	52.5	南京	南京	nánjīng	nam kinh	Nam Kinh
1167	51.46	和平	和平	hépíng	hòa bình	hòa bình/BÌNH/hoà bình/ôn hoà/lành/nhã nhặn/êm dịu/bình tĩnh/trấn tĩnh/yên tĩnh/bình thản/Hoà Bình/tỉnh Hoà Bình
1250	48.21	上帝	上帝	shàngdì	thượng đế	thượng đế/Thượng Đế/đấng sáng tạo/ông trời/đấng toàn năng/chúa trời
1311	46.25	广东	廣東	guǎngdōng	quảng đông	Quảng Đông
1357	44.76	亚洲	亞洲	yàzhōu	á châu	Á Châu/Châu/Châu Á
1413	43.1	巴黎	巴黎	bālí	ba lê	Pa-ri/Paris/Ba-lê/Ba Lê
1479	41.63	朝鲜	朝鮮	zhāoxiān	triều tiên	Triều Tiên/Cao Ly
1480	41.61	长城	長城	chángchéng	trường thành	Trường Thành/Vạn Lý Trường Thành/bức tường thành/lực lượng hùng hậu vững mạnh
1494	41.33	印度	印度	yìndù	ấn độ	Ấn Độ/India
1519	40.67	重庆	重慶	zhòngqìng	trùng khánh	Trùng Khánh
1535	40.23	成都	成都	chéngdū	thành đô	thành đô/Thành Đô
1627	37.45	寂寞	寂寞	jìmò	tịch mịch	tịch mịch/cô đơn lạnh lẽo/cô quạnh/vắng lặng/trống vắng/yên tĩnh/hiu quạnh/Tịch mịch/yên lặng
1648	36.98	四川	四川	sìchuān	tứ xuyên	Tứ Xuyên/Tứ-xuyên/thường gọi tắt là tỉnh
1658	36.84	西班牙	西班牙	xībānyá	tây ban nha	Tây Ban Nha/Spain/Y Pha Nho
1674	36.53	杭州	杭州	hángzhōu	hàng châu	Hàng Châu
1750	34.86	山东	山東	shāndōng	sơn đông	Sơn Đông
1767	34.44	西藏	西藏	xīcáng	tây tạng	Tây Tạng/khu tự trị Tây Tạng
1889	32.11	中华	中華	zhōnghuá	trung hoa	Trung Hoa
1967	30.62	伦敦	倫敦	lúndūn	luân đôn	Luân Đôn/London
2081	28.8	武汉	武漢	wǔhàn	vũ hán	Vũ Hán
2211	26.83	云南	雲南	yúnnán	vân nam	Vân Nam/tỉnh Vân Nam
2266	26.07	湖南	湖南	húnán	hồ nam	Hồ Nam
2420	24.29	河南	河南	hénán	hà nam	Hà Nam/NAM/tỉnh Hà Nam
2480	23.71	东京	東京	dōngjīng	đông kinh	Tô-ki-ô/Đông Kinh/Tokyo
2488	23.62	江苏	江蘇	jiāngsū	giang tô	Giang Tô/tỉnh Giang Tô
2651	21.7	江南	江南	jiāngnán	giang nam	Giang Nam/phía nam sông Trường Giang
2661	21.62	越南	越南	yuènán	việt nam	Việt Nam/Việt/Vietnam
2701	21.3	瑞士	瑞士	rùishì	thụy sĩ	Thụy Sĩ/Thuỵ Sĩ/Switzerland
2708	21.17	传奇	傳奇	chuánqí	truyền kì/truyền kỳ	truyền kỳ/truyền thuyết/truyện hư cấu/truyện tưởng tượng/Truyền kỳ/huyền thoại/truyện anh hùng hiệp sĩ
2794	20.44	非洲	非洲	fēizhōu	phi châu	Phi Châu/Châu Phi
2882	19.76	苏州	蘇州	sūzhōu	tô châu	Tô Châu
2887	19.74	佛教	佛教	fójiào	phật giáo	phật giáo/Phật giáo/vậy
2956	19.27	荷兰	荷蘭	hélán	hà lan	Hà Lan/Hoà Lan/Netherlands
3034	18.63	福建	福建	fújiàn	phúc kiến	Phúc Kiến
3045	18.55	长江	長江	chángjiāng	trường giang	Trường Giang/sông Trường Giang
3085	18.3	罗马	羅馬	luōmǎ	la mã	La Mã/Rô-ma/Rome
3098	18.2	台北	臺北	táiběi	đài bắc	Đài Bắc/Taipei
3129	17.95	山西	山西	shānxī	sơn tây	Sơn Tây/tỉnh Sơn Tây
3209	17.46	埃及	埃及	āijí	ai cập	Ai Cập/Egypt
3242	17.26	河北	河北	héběi	hà bắc	Hà Bắc/tỉnh Hà bắc
3519	15.77	湖北	湖北	húběi	hồ bắc	Hồ Bắc
3622	15.22	西北	西北	xīběi	tây bắc	tây bắc/Tây Bắc
3655	15.04	菩萨	菩薩	púsà	bồ tát	Bồ Tát/Phật/thần Phật/tấm lòng Bồ tát
3786	14.45	江西	江西	jiāngxī	giang tây	Giang Tây/tỉnh Giang Tây
3802	14.4	希腊	希臘	xīlà	hi lạp/hy lạp	Hy Lạp/Greece
4010	13.48	圣经	聖經	shèngjīng	thánh kinh	thánh kinh/Thánh Kinh/kinh thánh
4022	13.44	孔子	孔子	kǒngzǐ	khổng tử	Khổng Tử
4114	13.05	美金	美金	měijīn	mĩ kim/mỹ kim	Mĩ kim/mỹ kim/đồng đô-la Mỹ/Mỹ kim
4123	13.04	华夏	華夏	huáxià	hoa hạ	Hoa Hạ/Trung Hoa/Trung Quốc
4211	12.74	西南	西南	xīnán	tây nam	tây nam/Tây Nam
4483	11.79	爱尔兰	愛爾蘭	àiěrlán	ái nhĩ lan	Ai-len/Ái Nhĩ Lan/Ireland
4494	11.73	土耳其	土耳其	tǔěrqí	thổ nhĩ kì/thổ nhĩ kỳ	Thổ Nhĩ Kỳ/Turkey
4512	11.63	蒙古	蒙古	ménggǔ	mông cổ	Mông Cổ
4616	11.33	基督	基督	jīdū	cơ đốc	chúa cứu thế/chúa Giê-su/Cơ Đốc
4683	11.13	皇上	皇上	huángshàng	hoàng thượng	Hoàng Thượng/hoàng thượng/Hoàng thượng/hoàng đế
4714	11.05	太平洋	太平洋	tàipíngyáng	thái bình dương	Thái Bình Dương/Pacific Ocean
4728	11.02	华侨	華僑	huáqiáo	hoa kiều	Hoa Kiều
4846	10.74	徘徊	徘徊	páihuái	bồi hồi	bồi hồi/quanh quẩn một chỗ/lưỡng lự/chần chừ/Bồi hồi/quanh co không tiến lên được
4950	10.5	状元	狀元	zhuàngyuán	trạng nguyên	Trạng Nguyên/trạng nguyên/người giỏi nhất/cao thủ/sư phụ
5047	10.22	中原	中原	zhōngyuán	trung nguyên	Trung Nguyên/vùng Trung Nguyên
5075	10.17	黑龙江	黑龍江	hēilóngjiāng	hắc long giang	Hắc Long Giang/sông Hắc Long Giang
5203	9.84	丹麦	丹麥	dānmài	đan mạch	Đan Mạch/Denmark
5228	9.79	太平	太平	tàipíng	thái bình	thái bình/BÌNH/bình yên/an ninh/Thái Bình/tỉnh Thái Bình
5316	9.61	东风	東風	dōngfēng	đông phong	đông phong/gió xuân/gió đông/Châu Á/lực lượng cách mạng
5346	9.55	波兰	波蘭	bōlán	ba lan	Poland/Ba Lan
5534	9.15	西湖	西湖	xīhú	tây hồ	Tây hồ
5609	9.02	中秋	中秋	zhōngqīu	trung thu	Trung thu
5653	8.93	二哥	二哥	èrgē	nhị ca	Nhị ca/nhị ca
5735	8.8	北平	北平	běipíng	bắc bình	Bắc Bình
5750	8.77	福州	福州	fúzhōu	phúc châu	Phúc Châu
5910	8.49	喃喃	喃喃	nánnán	nam nam	thì thào/rì rà rì rầm/lẩm bẩm/lẩm nhẩm/Nam nam/tiếng nói lầm rầm
5911	8.48	恍惚	恍惚	huǎnghū	hoảng hốt	hoảng hốt/hốt hoảng/ngẩn ngơ/tựa như/hình như/không rõ/phảng phất/Hoảng hốt/thấy không đích xác
5951	8.41	西洋	西洋	xīyáng	tây dương	Tây Dương/phương Tây
5973	8.39	首相	首相	shǒuxiāng	thủ tướng	Thủ tướng/thủ tướng
5982	8.38	金山	金山	jīnshān	kim sơn	Kim Sơn
6185	7.98	火星	火星	huǒxīng	hỏa tinh	đốm lửa/Hỏa Tinh/hoả tinh/sao hoả/đốm lửa nhỏ
6335	7.71	憔悴	憔悴	qiáocùi	tiều tụy	tiều tụy/tiền tuỵ/hốc hác/võ vàng/Tiều tụy/khốn khổ
6497	7.49	洛阳	洛陽	luòyáng	lạc dương	Lạc Dương
6576	7.38	法文	法文	fǎwén	pháp văn	Pháp Văn/tiếng Pháp
6578	7.38	太原	太原	tàiyuán	thái nguyên	Thái Nguyên/tỉnh Thái Nguyên
6580	7.37	金刚	金剛	jīngāng	kim cương	kim cương/Kim cang/lực sĩ Kim cang/hộ pháp/giòi
6656	7.26	泰山	泰山	tàishān	thái sơn	thái sơn/Thái Sơn/núi Thái Sơn/bố vợ/cha vợ/ông nhạc
6742	7.15	扬州	揚州	yángzhōu	dương châu	Dương Châu
6755	7.13	超人	超人	chāorén	siêu nhân	siêu nhân/hơn người/vượt trội/ưu việt/thánh nhân/thánh sư/Lạt-ma/người đạo cao chức trọng/người được kính trọng
6779	7.09	佛法	佛法	fófǎ	phật pháp	phật hiệu/Phật pháp/giáo lý Phật giáo/phép Phật/phép thuật của Phật
6918	6.91	南非	南非	nánfēi	nam phi	Nam Phi/South Africa/Cộng hoà Nam Phi
6943	6.87	明朝	明朝	míngzhāo	minh triều	Minh triều
7042	6.76	金字塔	金字塔	jīnzìtǎ	kim tự tháp	Kim Tự Tháp/kim tự tháp
7060	6.74	观音	觀音	guānyīn	quan âm	Quan Âm/Quan Thế Âm
7108	6.68	光绪	光緒	guāngxù	quang tự	Quang Tự
7256	6.5	曹操	曹操	cáocāo	tào tháo	Tào Tháo
7261	6.5	北海	北海	běihǎi	bắc hải	bắc hải/đông bắc Đại Tây Dương/Bắc Hải/công viên Bắc Hải/biên khu bắc Trung Quốc/biển Bột Hải/hồ Baikal
7306	6.45	神州	神州	shénzhōu	thần châu	Thần Châu
7400	6.33	葡萄牙	葡萄牙	pútáoyá	bồ đào nha	Bồ Đào Nha/Portugal
7517	6.2	华文	華文	huáwén	hoa văn	Hoa Văn/tiếng Hoa
7912	5.82	平壤	平壤	píngrǎng	bình nhưỡng	Bình Nhưỡng/Pyongyang
8036	5.69	汉奸	漢奸	hànjiān	hán gian	Hán gian/hán gian
8166	5.57	美德	美德	měidé	mĩ đức/mỹ đức	mỹ đức/ĐỨC/phẩm chất tốt/đạo đức tốt/Mỹ Đức
8234	5.51	冰雪	冰雪	bīngxuě	băng tuyết	băng tuyết/Băng Tuyết/thanh khiết
8391	5.4	陈先生	陳先生	chénxiānshēng	trần tiên sinh	Trần tiên sinh
8405	5.39	波斯	波斯	bōsī	ba tư	Ba Tư
8783	5.07	京都	京都	jīngdū	kinh đô	kinh đô/kinh thành/Kinh Đô/Kyoto
8805	5.06	华山	華山	huáshān	hoa sơn	Hoa Sơn
8919	4.98	张三	張三	zhāngsān	trương tam	Trương Tam
9069	4.87	北欧	北歐	běiōu	bắc âu	Bắc Âu
9229	4.75	天皇	天皇	tiānhuáng	thiên hoàng	thiên hoàng/Thiên Hoàng/thiên tử/vua
9342	4.68	太极	太極	tàijí	thái cực	Thái Cực/thái cực
9389	4.65	孙悟空	孫悟空	sūnwùkōng	tôn ngộ không	Tôn Ngộ Không
9498	4.57	魔王	魔王	mówáng	ma vương	ma vương/Ma vương/ác quỷ/quỷ dữ/kẻ ác độc/kẻ hung bạo
9519	4.56	鼓动	鼓動	gǔdòng	cổ động	cổ động/Cổ Động/quạt/vỗ cánh/khuyến khích/xúi giục/động viên
9553	4.54	刘备	劉備	líubèi	lưu bị	Lưu Bị
9685	4.47	三哥	三哥	sāngē	tam ca	Tam ca/tam ca
9922	4.34	远东	遠東	yuǎndōng	viễn đông	Viễn Đông/vùng Viễn Đông
9987	4.29	西欧	西歐	xīōu	tây âu	Tây Âu/miền tây Châu Âu
9997	4.28	西域	西域	xīyù	tây vực	Tây Vực/Tây-vực/nước phía Tây
10114	4.21	霸王	霸王	bàwáng	bá vương	bá vương/Bá Vương/kẻ cực kỳ thô bạo/kẻ ngang ngược
10134	4.2	彷佛	徬佛	pángfó	phảng phất	Phảng phất/thấy không được rõ ràng
10284	4.11	王爷	王爺	wángyé	vương gia	Vương gia/đức vua
10415	4.04	天国	天國	tiānguó	thiên quốc	thiên quốc/Thiên Quốc/thiên đường/thế giới lý tưởng
10868	3.78	李家	李家	lǐjiā	lí gia/lý gia	Lý gia
10950	3.74	天山	天山	tiānshān	thiên sơn	Thiên Sơn
10965	3.73	宰相	宰相	zǎixiāng	tể tướng	Tể tướng/tể tướng/thừa tướng
11053	3.69	少林	少林	shǎolín	thiếu lâm	Thiếu Lâm
11338	3.57	金陵	金陵	jīnlíng	kim lăng	Kim Lăng
11416	3.54	西宁	西寧	xīníng	tây ninh	Tây Ninh/tỉnh Tây Ninh
11429	3.53	罗汉	羅漢	luōhàn	la hán	La Hán/la hán
11883	3.33	总司令	總司令	zǒngsīlìng	tổng tư lệnh	Tổng tư lệnh/tổng tư lệnh
11990	3.28	净土	淨土	jìngtǔ	tịnh thổ	Niết bàn/Tịnh thổ/thiên đường/chốn cực lạc/chốn bồng lai
12421	3.13	青铜	青銅	qīngtóng	thanh đồng	Thanh Đồng/đồng thau/đồng đen
12433	3.13	护法	護法	hùfǎ	hộ pháp	hộ pháp/bảo vệ Phật pháp/giữ gìn Phật Pháp/Hộ Pháp/người bảo vệ Phật pháp/bảo vệ quốc pháp
12597	3.07	北极	北極	běijí	bắc cực	bắc cực/Bắc cực/cực Bắc
12714	3.03	太守	太守	tàishǒu	thái thú	Thái Thú/thái thú
12823	2.99	岳飞	岳飛	yuèfēi	nhạc phi	Nhạc Phi
12960	2.95	九龙	九龍	jǐulóng	cửu long	Cửu Long/tỉnh Cửu Long
13393	2.82	丞相	丞相	chéngxiāng	thừa tướng	Thừa tướng/thừa tướng/thủ tướng/chức quan giúp vua
13495	2.78	南洋	南洋	nányáng	nam dương	Nam Dương/quần đảo Nam Dương
13565	2.76	佛祖	佛祖	fózǔ	phật tổ	Phật tổ
13640	2.74	张飞	張飛	zhāngfēi	trương phi	Trương Phi
13942	2.65	大宝	大寶	dàbǎo	đại bảo	đại bảo/ngôi hoàng đế/bảo bối/vật báu/Phật pháp/khối vàng
14146	2.59	西天	西天	xītiān	tây thiên	Tây Thiên/thế giới cực lạc/cõi cực lạc
14352	2.53	高丽	高麗	gāolì	cao ly	Cao Ly
14366	2.53	西施	西施	xīshī	tây thi	Tây Thi
14457	2.51	老七	老七	lǎoqī	lão thất	Lão Thất
14464	2.5	江东	江東	jiāngdōng	giang đông	Giang Đông
14738	2.43	关羽	關羽	guānyǔ	quan vũ	Quan Vũ/Quan Công/Quan Vân Trường
14742	2.43	河内	河內	hénèi	hà nội	Hà Nội/TP Hà Nội/thủ đô Hà Nội
14754	2.43	河东	河東	hédōng	hà đông	ĐÔNG/Hà Đông/tỉnh Hà Đông
14816	2.41	江北	江北	jiāngběi	giang bắc	Giang Bắc/phía bắc Trường Giang
14908	2.39	沙皇	沙皇	shāhuáng	sa hoàng	Sa Hoàng/Nga Hoàng
14952	2.38	新教	新教	xīnjiào	tân giáo	đạo Tin Lành/giáo phái Tin Lành/Tân Giáo
15165	2.33	惠州	惠州	hùizhōu	huệ châu	Huệ Châu
15388	2.28	西医	西醫	xīyì	tây y	Tây y/y học phương Tây/thầy thuốc Tây y/bác sĩ
15442	2.27	罗兰	羅蘭	luōlán	la lan	La Lan
15847	2.17	观世音	觀世音	guānshìyīn	quan thế âm	Quan Thế Âm
16186	2.11	刘家	劉家	líujiā	lưu gia	Lưu gia
16372	2.07	满洲	滿洲	mǎnzhōu	mãn châu	dân tộc Mãn Châu/Mãn Châu
16552	2.03	御史	御史	yùshǐ	ngự sử	Ngự Sử
16872	1.96	北非	北非	běifēi	bắc phi	Bắc Phi/Bắc Châu Phi
16877	1.96	黄海	黃海	huánghǎi	hoàng hải	Hoàng Hải
17245	1.9	蓬莱	蓬萊	pénglái	bồng lai	Bồng Lai/chốn Bồng Lai
17744	1.8	万象	萬象	wànxiàng	vạn tượng	vạn vật/muôn vật/mọi vật/Vạn Tượng/Viêng Chăn/Vientiane
17849	1.78	佛门	佛門	fómén	phật môn	phật môn/Phật giáo/cửa Phật/nhà Phật
18063	1.74	皇太后	皇太后	huángtàihòu	hoàng thái hậu	hoàng thái hậu/Hoàng thái hậu/mẹ vua
18244	1.71	阎王	閻王	yánwáng	diêm vương	diêm vương/Diêm vương/kẻ cực kỳ hung ác/cực kỳ tàn nhẫn
18418	1.69	龙城	龍城	lóngchéng	long thành	Long Thành
18650	1.64	金牛	金牛	jīnníu	kim ngưu	Kim Ngưu
18934	1.59	丐帮	丐幫	gàibāng	cái bang	Cái Bang
18959	1.59	襄阳	襄陽	xiāngyáng	tương dương	Tương Dương
18968	1.59	陈某	陳某	chénmǒu	trần mỗ	Trần mỗ
19152	1.57	辽东	遼東	liáodōng	liêu đông	Liêu Đông
19206	1.56	三藏	三藏	sāncáng	tam tạng	Tam Tạng
19430	1.52	关东	關東	guāndōng	quan đông	Quan Đông
19573	1.5	武夷山	武夷山	wǔyíshān	vũ di sơn	Vũ Di Sơn
20013	1.45	平定	平定	píngdìng	bình định	bình định/ĐỊNH/ổn định/yên ổn/dẹp yên/Bình Định/tỉnh Bình Định
20671	1.36	李小龙	李小龍	lǐxiǎolóng	lí tiểu long/lý tiểu long	Lý Tiểu Long
20778	1.34	淮南	淮南	huáinán	hoài nam	Hoài Nam/miền trung tỉnh An Huy
21234	1.29	北伐	北伐	běifá	bắc phạt	Bắc Phạt/quân bắc phạt
21556	1.25	太尉	太尉	tàiwèi	thái úy	Thái úy/thái uý
21667	1.23	南朝	南朝	nánzhāo	nam triều	nam triều/Nam Triều
21729	1.22	天门	天門	tiānmén	thiên môn	Thiên môn/cửa thiên cung/cổng thiên đàng/cửa trời/cổng cung điện vua chúa/giữa trán/tâm
21744	1.22	红海	紅海	hónghǎi	hồng hải	Hồng Hải/Biển Đỏ/Red Sea
22141	1.18	神农	神農	shénnóng	thần nông	Thần Nông
22508	1.15	二弟	二弟	èrdì	nhị đệ	Nhị đệ
22603	1.14	富国	富國	fùguó	phú quốc	QUỐC/làm nước giàu/nước giàu/Phú Quốc
22885	1.1	东瀛	東瀛	dōngyíng	đông doanh	Nhật Bản/đông doanh/Nhật bản/đông hải/biển Đông
22939	1.1	火神	火神	huǒshén	hỏa thần	Hỏa thần
23009	1.09	夏至	夏至	xiàzhì	hạ chí	Hạ Chí
23135	1.08	儒教	儒教	rújiào	nho giáo	nho giáo/đạo Nho/Nho giáo/để phân biệt với
23140	1.08	花旗	花旗	huāqí	hoa kì/hoa kỳ	Hoa Kỳ/cờ Mỹ/Mỹ
23356	1.06	天朝	天朝	tiānzhāo	thiên triều	Thiên triều/thiên triều
23430	1.05	平阳	平陽	píngyáng	bình dương	Bình Dương/tỉnh Bình Dương
23869	1.01	海防	海防	hǎifáng	hải phòng	PHÒNG/phòng thủ trên biển/phòng thủ bờ biển/tuần phòng bờ biển/Hải Phòng/TP. Hải Phòng
24088	0.99	红河	紅河	hónghé	hồng hà	sông Hồng/Hồng Hà/Red River
24191	0.98	天眼	天眼	tiānyǎn	thiên nhãn	thiên nhãn/Thiên Nhãn
24265	0.97	水师	水師	shǔishī	thủy sư	Thủy sư/thủy sư/thuỷ quân
24334	0.97	天竺	天竺	tiānzhú	thiên trúc	Thiên Trúc
24706	0.93	广平	廣平	guǎngpíng	quảng bình	Quảng Bình/tỉnh Quảng Bình
24940	0.91	建安	建安	jiànān	kiến an	AN/Kiến An
25245	0.88	黑海	黑海	hēihǎi	hắc hải	Biển Đen/Hắc Hải/Black Sea
25251	0.88	扶桑	扶桑	fúsāng	phù tang	phù tang/Phù Tang/xứ phù tang/Nhật Bản/cây dâm bụt/cây dâu sinh đôi
25618	0.86	赤壁	赤壁	chìbì	xích bích	Xích Bích/trận Xích Bích
25671	0.85	刘将军	劉將軍	líujiāngjūn	lưu tướng quân	Lưu tướng quân
25810	0.84	木星	木星	mùxīng	mộc tinh	sao Mộc/Mộc tinh
25939	0.83	圣上	聖上	shèngshàng	thánh thượng	Thánh Thượng/thánh thượng/hoàng đế
26296	0.8	白莲	白蓮	báilián	bạch liên	Bạch Liên
26346	0.8	五经	五經	wǔjīng	ngũ kinh	Ngũ kinh
26812	0.76	驸马	駙馬	fùmǎ	phò mã	Phò mã/phò mã/rể vua
27140	0.74	佛爷	佛爺	fóyé	phật gia	Phật gia/ông Phật/Phật Thích Ca Mâu Ni
27178	0.74	玉皇大帝	玉皇大帝	yùhuángdàdì	ngọc hoàng đại đế	Ngọc Hoàng đại đế/Ngọc hoàng đại đế
27451	0.72	绿林	綠林	lv̀lín	lục lâm	lục lâm/Lục Lâm
27553	0.71	司徒	司徒	sītú	tư đồ	Tư Đồ/họ Tư Đồ/tư đồ/chủ về việc coi các dân chúng
27749	0.7	西非	西非	xīfēi	tây phi	Tây Phi/miền Tây Châu Phi
28090	0.68	中州	中州	zhōngzhōu	trung châu	Trung Châu
28512	0.65	北冰洋	北冰洋	běibīngyáng	bắc băng dương	Bắc Băng Dương/Arctic Ocean
28556	0.65	罗宾	羅賓	luōbīn	la tân	La Tân
28782	0.64	南欧	南歐	nánōu	nam âu	Nam Âu
